Team,goals1,goals2,goals3,goals4,goalsT,shots1,shots2,shots3,shots4,shotsT,Pen,PIM,PPG,PPO,FOW,FOL,FOW%,goals5,goals6,shots5,shots6,Game_ID
Maine,2,0,0,0,2,21,7,8,0,36,4,8,1,4,29,29,50.0,0,0,0,0,2025-01-11-Maine-Mass. Lowell
Mass Lowell,0,1,0,0,1,4,7,15,0,26,5,21,0,3,29,29,50.0,0,0,0,0,2025-01-11-Maine-Mass. Lowell
Northeastern,1,1,1,0,3,14,12,13,0,39,2,4,0,1,20,35,36.3636363636364,0,0,0,0,2025-01-11-Northeastern-Massachusetts
Massachusetts,0,0,0,0,0,15,12,8,0,35,1,2,0,2,35,20,63.6363636363636,0,0,0,0,2025-01-11-Northeastern-Massachusetts
Boston College,0,3,1,0,4,16,16,9,0,41,4,19,1,1,33,32,50.7692307692308,0,0,0,0,2025-01-11-Boston College-Merrimack
Merrimack,0,0,1,0,1,6,8,9,0,23,1,2,1,4,32,33,49.2307692307692,0,0,0,0,2025-01-11-Boston College-Merrimack
Mercyhurst,1,0,0,0,1,8,6,5,0,19,8,16,0,1,33,38,46.4788732394366,0,0,0,0,2025-01-11-Mercyhurst-Army
Army,2,7,4,0,13,8,20,17,0,45,3,6,3,6,38,33,53.5211267605634,0,0,0,0,2025-01-11-Mercyhurst-Army
Bentley,1,0,0,0,1,10,10,15,0,35,7,47,0,3,33,29,53.2258064516129,0,0,0,0,2025-01-11-Bentley-Air Force
Air Force,2,1,1,0,4,5,4,14,0,23,7,36,1,2,29,33,46.7741935483871,0,0,0,0,2025-01-11-Bentley-Air Force
Robert Morris,0,0,2,0,2,10,5,8,2,25,3,6,1,5,45,36,55.5555555555556,0,0,0,0,2025-01-11-Robert Morris-Holy Cross
Holy Cross,0,1,1,0,2,7,10,11,2,30,5,10,0,3,36,45,44.4444444444444,0,0,0,0,2025-01-11-Robert Morris-Holy Cross
RIT,0,1,1,0,2,12,6,6,0,24,6,23,2,5,27,27,50.0,0,0,0,0,2025-01-11-RIT-Canisius
Canisius,1,1,3,0,5,8,8,9,0,25,6,23,3,5,27,27,50.0,0,0,0,0,2025-01-11-RIT-Canisius
Long Island,0,0,1,0,1,6,10,14,0,30,3,6,0,5,29,17,63.0434782608696,0,0,0,0,2025-01-11-Long Island-Colgate
Colgate,1,0,2,0,3,10,2,7,0,19,6,23,0,3,17,29,36.9565217391304,0,0,0,0,2025-01-11-Long Island-Colgate
Lindenwood,0,1,1,0,2,9,9,10,0,28,3,6,0,4,40,32,55.5555555555556,0,0,0,0,2025-01-11-Lindenwood-Stonehill
Stonehill,1,0,2,0,3,4,10,11,0,25,4,8,0,3,32,40,44.4444444444444,0,0,0,0,2025-01-11-Lindenwood-Stonehill
Cornell,0,1,1,0,2,8,11,10,0,29,4,8,0,2,32,30,51.6129032258065,0,0,0,0,2025-01-11-Cornell-Sacred Heart
Sacred Heart,1,2,1,0,4,7,9,5,0,21,3,6,0,3,30,32,48.3870967741936,0,0,0,0,2025-01-11-Cornell-Sacred Heart
Alaska Anchorage,2,1,0,0,3,8,9,3,0,20,1,2,0,2,24,39,38.0952380952381,0,0,0,0,2025-01-11-Alaska Anchorage-Niagara
Niagara,0,1,0,0,1,8,14,12,0,34,3,6,0,0,39,24,61.9047619047619,0,0,0,0,2025-01-11-Alaska Anchorage-Niagara
North Dakota,0,2,1,1,4,9,15,11,1,36,6,23,1,6,33,25,56.8965517241379,0,0,0,0,2025-01-11-North Dakota-Arizona State
Arizona State,0,1,2,0,3,9,5,9,1,24,8,16,2,5,25,33,43.1034482758621,0,0,0,0,2025-01-11-North Dakota-Arizona State
Miami,0,1,1,0,2,3,3,6,0,12,4,8,2,2,23,32,41.8181818181818,0,0,0,0,2025-01-11-Miami-Denver
Denver,2,2,2,0,6,16,17,9,0,42,3,6,2,3,32,23,58.1818181818182,0,0,0,0,2025-01-11-Miami-Denver
St Cloud State,0,2,0,0,2,8,8,6,0,22,6,12,1,4,38,23,62.2950819672131,0,0,0,0,2025-01-11-St. Cloud State-Minnesota Duluth
Minnesota Duluth,1,3,1,0,5,7,13,6,0,26,4,8,1,6,23,38,37.7049180327869,0,0,0,0,2025-01-11-St. Cloud State-Minnesota Duluth
Colorado College,0,1,0,0,1,11,11,12,0,34,4,8,0,4,30,29,50.8474576271186,0,0,0,0,2025-01-11-Colorado College-Omaha
Omaha,1,0,2,0,3,9,13,8,0,30,4,8,0,4,29,30,49.1525423728814,0,0,0,0,2025-01-11-Colorado College-Omaha
Michigan State,0,2,0,0,2,13,16,5,3,37,8,16,0,3,35,44,44.3037974683544,0,0,0,0,2025-01-11-Michigan State-Penn State
Penn State,1,0,1,0,2,8,9,14,3,34,3,6,1,7,44,35,55.6962025316456,0,0,0,0,2025-01-11-Michigan State-Penn State
Michigan,1,2,1,0,4,15,12,14,0,41,3,6,2,3,27,27,50.0,0,0,0,0,2025-01-11-Michigan-Notre Dame
Notre Dame,2,3,2,0,7,10,13,6,0,29,5,10,0,1,27,27,50.0,0,0,0,0,2025-01-11-Michigan-Notre Dame
Minnesota,3,2,1,0,6,16,8,9,0,33,4,8,3,4,33,36,47.8260869565217,0,0,0,0,2025-01-11-Minnesota-Ohio State
Ohio State,0,0,1,0,1,8,18,7,0,33,4,8,1,4,36,33,52.1739130434783,0,0,0,0,2025-01-11-Minnesota-Ohio State
Lake Superior,0,0,0,0,0,9,4,8,0,21,5,26,0,2,30,21,58.8235294117647,0,0,0,0,2025-01-11-Lake Superior-Michigan Tech
Michigan Tech,0,0,1,0,1,4,14,13,0,31,3,14,0,3,21,30,41.1764705882353,0,0,0,0,2025-01-11-Lake Superior-Michigan Tech
Minnesota State,4,2,0,0,6,12,10,10,0,32,10,47,3,4,30,32,48.3870967741936,0,0,0,0,2025-01-11-Minnesota State-Northern Michigan
Northern Michigan,0,1,0,0,1,6,9,7,0,22,6,20,0,6,32,30,51.6129032258065,0,0,0,0,2025-01-11-Minnesota State-Northern Michigan
Ferris State,1,1,1,0,3,8,7,11,0,26,4,8,1,2,35,35,50.0,0,0,0,0,2025-01-11-Ferris State-St. Thomas
St Thomas,1,1,2,0,4,8,6,11,0,25,2,4,2,4,35,35,50.0,0,0,0,0,2025-01-11-Ferris State-St. Thomas
Bemidji State,0,2,2,0,4,10,14,18,5,47,6,12,1,4,35,35,50.0,0,0,0,0,2025-01-11-Bemidji State-Bowling Green
Bowling Green,1,2,1,0,4,16,17,7,1,41,4,8,1,6,35,35,50.0,0,0,0,0,2025-01-11-Bemidji State-Bowling Green
