Team,goals1,goals2,goals3,goals4,goalsT,shots1,shots2,shots3,shots4,shotsT,Pen,PIM,PPG,PPO,FOW,FOL,FOW%,goals5,goals6,shots5,shots6,Game_ID
Michigan State,1,0,0,1,2,6,7,25,1,39,4,11,0,3,15,30,33.3333333333333,0,0,0,0,2024-10-04-Michigan State-Lake Superior
Lake Superior,1,0,0,0,1,10,11,5,0,26,3,6,0,4,30,15,66.6666666666667,0,0,0,0,2024-10-04-Michigan State-Lake Superior
Minnesota State,0,2,3,0,5,4,11,8,0,23,3,6,0,3,21,40,34.4262295081967,0,0,0,0,2024-10-04-Minnesota State-Michigan
Michigan,0,1,1,0,2,13,12,9,0,34,4,8,1,2,40,21,65.5737704918033,0,0,0,0,2024-10-04-Minnesota State-Michigan
Arizona State,2,2,4,0,8,9,4,11,0,24,6,12,2,2,23,36,38.9830508474576,0,0,0,0,2024-10-04-Arizona State-Air Force
Air Force,0,1,0,0,1,7,12,9,0,28,2,4,0,6,36,23,61.0169491525424,0,0,0,0,2024-10-04-Arizona State-Air Force
Bowling Green,1,1,0,0,2,7,15,5,0,27,7,14,1,5,43,25,63.2352941176471,0,0,0,0,2024-10-04-Bowling Green-Mercyhurst
Mercyhurst,0,1,0,0,1,9,12,12,0,33,5,10,0,7,25,43,36.7647058823529,0,0,0,0,2024-10-04-Bowling Green-Mercyhurst
Colgate,1,0,1,0,2,5,9,10,0,24,4,8,0,3,22,27,44.8979591836735,0,0,0,0,2024-10-04-Colgate-Connecticut
Connecticut,1,2,1,0,4,13,15,10,0,38,3,6,1,4,27,22,55.1020408163265,0,0,0,0,2024-10-04-Colgate-Connecticut
Miami,1,1,1,0,3,11,10,5,4,30,4,19,1,4,41,27,60.2941176470588,0,0,0,0,2024-10-04-Miami-Ferris State
Ferris State,0,1,2,0,3,13,5,10,9,37,5,10,0,2,27,41,39.7058823529412,0,0,0,0,2024-10-04-Miami-Ferris State
Michigan State,0,3,2,0,5,21,12,14,0,47,6,12,0,3,38,30,55.8823529411765,0,0,0,0,2024-10-05-Michigan State-Lake Superior
Lake Superior,0,0,1,0,1,7,5,14,0,26,5,10,0,4,30,38,44.1176470588235,0,0,0,0,2024-10-05-Michigan State-Lake Superior
Bemidji State,1,2,0,1,4,9,9,4,1,23,4,8,0,1,24,43,35.8208955223881,0,0,0,0,2024-10-05-Bemidji State-Minnesota Duluth
Minnesota Duluth,1,1,1,0,3,10,11,14,5,40,1,2,1,4,43,24,64.1791044776119,0,0,0,0,2024-10-05-Bemidji State-Minnesota Duluth
Denver,2,3,1,0,6,12,10,16,0,38,2,4,4,9,42,24,63.6363636363636,0,0,0,0,2024-10-05-Denver-Alaska Anchorage
Alaska Anchorage,1,0,1,0,2,4,2,6,0,12,8,27,1,2,24,42,36.3636363636364,0,0,0,0,2024-10-05-Denver-Alaska Anchorage
Minnesota State,0,0,1,0,1,9,11,5,0,25,6,12,0,4,26,33,44.0677966101695,0,0,0,0,2024-10-05-Minnesota State-Michigan
Michigan,2,0,2,0,4,9,4,5,0,18,5,10,0,5,33,26,55.9322033898305,0,0,0,0,2024-10-05-Minnesota State-Michigan
Holy Cross,0,1,1,0,2,9,10,12,0,31,13,37,1,5,27,41,39.7058823529412,0,0,0,0,2024-10-05-Holy Cross-Boston University
Boston University,0,4,1,0,5,6,22,9,0,37,12,46,1,4,41,27,60.2941176470588,0,0,0,0,2024-10-05-Holy Cross-Boston University
Canisius,0,1,0,0,1,8,9,8,0,25,2,4,0,3,23,30,43.3962264150943,0,0,0,0,2024-10-05-Canisius-Clarkson
Clarkson,1,1,0,0,2,15,6,7,0,28,3,6,0,2,30,23,56.6037735849057,0,0,0,0,2024-10-05-Canisius-Clarkson
American Intl,0,0,0,0,0,2,6,9,0,17,5,21,0,2,26,32,44.8275862068966,0,0,0,0,2024-10-05-American Int'l-Maine
Maine,1,2,3,0,6,8,13,11,0,32,2,4,1,5,32,26,55.1724137931034,0,0,0,0,2024-10-05-American Int'l-Maine
RIT,0,1,1,0,2,9,8,5,0,22,5,10,0,2,27,29,48.2142857142857,0,0,0,0,2024-10-05-RIT-St. Lawrence
St Lawrence,2,0,0,1,3,11,6,8,2,27,2,4,0,5,29,27,51.7857142857143,0,0,0,0,2024-10-05-RIT-St. Lawrence
Massachusetts,1,4,0,0,5,11,17,9,0,37,5,10,0,4,34,46,42.5,0,0,0,0,2024-10-05-Massachusetts-Bentley
Bentley,0,1,3,0,4,12,11,14,0,37,5,10,1,4,46,34,57.5,0,0,0,0,2024-10-05-Massachusetts-Bentley
Arizona State,2,0,1,0,3,15,6,13,1,35,4,8,0,3,29,32,47.5409836065574,0,0,0,0,2024-10-05-Arizona State-Air Force
Air Force,1,1,1,1,4,5,19,8,1,33,3,6,1,4,32,29,52.4590163934426,0,0,0,0,2024-10-05-Arizona State-Air Force
Bowling Green,1,0,3,1,5,9,16,16,1,42,4,11,1,2,54,36,60.0,0,0,0,0,2024-10-05-Bowling Green-Mercyhurst
Mercyhurst,2,1,1,0,4,14,12,7,1,34,3,6,1,4,36,54,40.0,0,0,0,0,2024-10-05-Bowling Green-Mercyhurst
Penn State,2,1,0,1,4,8,17,6,2,33,4,8,0,3,30,27,52.6315789473684,0,0,0,0,2024-10-05-Penn State-Alaska
Alaska,1,0,2,0,3,10,6,10,3,29,3,6,0,4,27,30,47.3684210526316,0,0,0,0,2024-10-05-Penn State-Alaska
Colgate,1,0,1,0,2,14,8,12,0,34,1,2,0,5,25,36,40.9836065573771,0,0,0,0,2024-10-05-Colgate-Connecticut
Connecticut,0,3,3,0,6,13,10,20,0,43,5,10,0,1,36,25,59.0163934426229,0,0,0,0,2024-10-05-Colgate-Connecticut
Miami,1,2,1,0,4,13,8,12,5,38,5,10,2,7,33,21,61.1111111111111,0,0,0,0,2024-10-05-Miami-Ferris State
Ferris State,1,2,1,0,4,5,13,8,1,27,7,14,0,5,21,33,38.8888888888889,0,0,0,0,2024-10-05-Miami-Ferris State
RIT,0,2,1,0,3,6,7,5,0,18,10,20,0,2,37,30,55.2238805970149,0,0,0,0,2024-10-06-RIT-Clarkson
Clarkson,0,1,1,0,2,5,16,13,0,34,6,23,1,6,30,37,44.7761194029851,0,0,0,0,2024-10-06-RIT-Clarkson
Canisius,2,0,0,0,2,14,6,8,0,28,2,4,0,5,37,23,61.6666666666667,0,0,0,0,2024-10-06-Canisius-St. Lawrence
St Lawrence,0,4,1,0,5,6,11,8,0,25,6,23,1,2,23,37,38.3333333333333,0,0,0,0,2024-10-06-Canisius-St. Lawrence
Army,1,1,1,0,3,6,5,7,0,18,5,10,1,6,26,34,43.3333333333333,0,0,0,0,2024-10-06-Army-Union
Union,1,2,0,1,4,13,9,9,3,34,8,27,0,3,34,26,56.6666666666667,0,0,0,0,2024-10-06-Army-Union
Stonehill,1,0,1,1,3,9,5,8,3,25,3,6,1,4,36,31,53.7313432835821,0,0,0,0,2024-10-06-Stonehill-Merrimack
Merrimack,1,0,1,0,2,4,11,14,0,29,5,10,0,3,31,36,46.2686567164179,0,0,0,0,2024-10-06-Stonehill-Merrimack
Denver,1,2,1,0,4,19,7,10,0,36,6,12,1,4,39,38,50.6493506493506,0,0,0,0,2024-10-06-Denver-Alaska Anchorage
Alaska Anchorage,0,0,1,0,1,8,8,9,0,25,5,10,0,5,38,39,49.3506493506493,0,0,0,0,2024-10-06-Denver-Alaska Anchorage
Penn State,0,4,1,0,5,7,15,10,0,32,12,33,1,2,35,36,49.2957746478873,0,0,0,0,2024-10-06-Penn State-Alaska
Alaska,0,0,0,0,0,10,13,9,0,32,5,19,0,9,36,35,50.7042253521127,0,0,0,0,2024-10-06-Penn State-Alaska
St Cloud State,1,0,0,0,1,15,5,8,0,28,6,12,0,2,38,32,54.2857142857143,0,0,0,0,2024-10-06-St. Cloud State-St. Thomas
St Thomas,0,0,0,0,0,8,14,12,0,34,5,21,0,4,32,38,45.7142857142857,0,0,0,0,2024-10-06-St. Cloud State-St. Thomas
Michigan,1,2,1,0,4,13,11,10,0,34,8,24,1,2,34,29,53.968253968254,0,0,0,0,2024-10-11-Michigan-Arizona State
Arizona State,0,0,1,0,1,12,9,15,0,36,5,18,1,5,29,34,46.031746031746,0,0,0,0,2024-10-11-Michigan-Arizona State
Boston College,0,3,0,0,3,8,14,7,0,29,2,4,0,1,26,33,44.0677966101695,0,0,0,0,2024-10-11-Boston College-Michigan State
Michigan State,0,0,0,0,0,8,7,9,0,24,1,2,0,2,33,26,55.9322033898305,0,0,0,0,2024-10-11-Boston College-Michigan State
Rensselaer,1,3,2,0,6,6,10,13,0,29,5,10,1,6,41,24,63.0769230769231,0,0,0,0,2024-10-11-Rensselaer-Canisius
Canisius,1,1,1,0,3,14,7,10,0,31,7,14,1,4,24,41,36.9230769230769,0,0,0,0,2024-10-11-Rensselaer-Canisius
Niagara,0,1,1,0,2,7,8,7,0,22,4,19,1,5,39,32,54.9295774647887,0,0,0,0,2024-10-11-Niagara-Clarkson
Clarkson,0,2,2,0,4,8,13,6,0,27,6,12,2,4,32,39,45.0704225352113,0,0,0,0,2024-10-11-Niagara-Clarkson
Sacred Heart,0,4,1,0,5,8,14,4,1,27,3,6,1,1,34,44,43.5897435897436,0,0,0,0,2024-10-11-Sacred Heart-Colgate
Colgate,3,2,0,1,6,15,9,5,3,32,1,2,1,3,44,34,56.4102564102564,0,0,0,0,2024-10-11-Sacred Heart-Colgate
Northern Michigan,1,0,2,0,3,9,3,7,0,19,3,6,1,4,31,44,41.3333333333333,0,0,0,0,2024-10-11-Northern Michigan-Colorado College
Colorado College,1,1,1,1,4,14,20,14,1,49,5,10,0,2,44,31,58.6666666666667,0,0,0,0,2024-10-11-Northern Michigan-Colorado College
Connecticut,1,1,1,0,3,12,8,17,0,37,5,10,0,7,35,41,46.0526315789474,0,0,0,0,2024-10-11-Connecticut-Holy Cross
Holy Cross,0,2,2,0,4,4,10,7,0,21,8,27,3,5,41,35,53.9473684210526,0,0,0,0,2024-10-11-Connecticut-Holy Cross
Union,1,0,3,0,4,12,9,24,0,45,3,6,0,8,51,23,68.9189189189189,0,0,0,0,2024-10-11-Union-Stonehill
Stonehill,0,2,0,0,2,7,13,6,0,26,9,18,0,2,23,51,31.0810810810811,0,0,0,0,2024-10-11-Union-Stonehill
American Intl,0,1,2,0,3,6,5,7,4,22,4,8,0,2,21,41,33.8709677419355,0,0,0,0,2024-10-11-American Int'l-Ohio State
Ohio State,1,1,1,0,3,16,14,15,5,50,3,6,0,4,41,21,66.1290322580645,0,0,0,0,2024-10-11-American Int'l-Ohio State
Notre Dame,1,2,1,0,4,14,14,10,0,38,3,6,1,3,34,33,50.7462686567164,0,0,0,0,2024-10-11-Notre Dame-St. Lawrence
St Lawrence,1,0,0,0,1,7,8,18,0,33,4,8,1,2,33,34,49.2537313432836,0,0,0,0,2024-10-11-Notre Dame-St. Lawrence
Ferris State,1,0,0,0,1,5,8,5,0,18,2,4,0,1,22,44,33.3333333333333,0,0,0,0,2024-10-11-Ferris State-Western Michigan
Western Michigan,2,0,2,0,4,18,14,12,0,44,1,2,0,2,44,22,66.6666666666667,0,0,0,0,2024-10-11-Ferris State-Western Michigan
Lindenwood,2,1,1,0,4,7,8,4,0,19,5,10,1,3,17,34,33.3333333333333,0,0,0,0,2024-10-11-Lindenwood-Wisconsin
Wisconsin,1,0,1,0,2,13,14,9,0,36,3,6,1,5,34,17,66.6666666666667,0,0,0,0,2024-10-11-Lindenwood-Wisconsin
Vermont,2,1,2,0,5,16,9,11,1,37,6,12,1,6,50,36,58.1395348837209,0,0,0,0,2024-10-11-Vermont-St. Thomas
St Thomas,1,1,3,0,5,7,10,16,5,38,6,12,0,6,36,50,41.8604651162791,0,0,0,0,2024-10-11-Vermont-St. Thomas
Alaska Anchorage,0,0,2,0,2,7,8,12,0,27,6,12,1,7,28,31,47.4576271186441,0,0,0,0,2024-10-11-Alaska Anchorage-Miami
Miami,1,1,1,0,3,2,12,7,0,21,7,14,2,5,31,28,52.5423728813559,0,0,0,0,2024-10-11-Alaska Anchorage-Miami
Alaska,0,1,0,0,1,9,5,2,0,16,3,6,0,4,24,29,45.2830188679245,0,0,0,0,2024-10-11-Alaska-Michigan Tech
Michigan Tech,1,0,0,1,2,7,8,10,3,28,5,10,0,2,29,24,54.7169811320755,0,0,0,0,2024-10-11-Alaska-Michigan Tech
Merrimack,1,0,0,0,1,9,4,7,0,20,2,4,0,1,23,26,46.9387755102041,0,0,0,0,2024-10-11-Merrimack-Minnesota State
Minnesota State,0,0,0,0,0,8,12,8,0,28,1,2,0,2,26,23,53.0612244897959,0,0,0,0,2024-10-11-Merrimack-Minnesota State
Long Island,0,0,0,0,0,8,10,11,0,29,7,14,0,4,32,24,57.1428571428571,0,0,0,0,2024-10-11-Long Island-Augustana
Augustana,0,3,1,0,4,6,11,7,0,24,7,14,0,4,24,32,42.8571428571429,0,0,0,0,2024-10-11-Long Island-Augustana
Minnesota Duluth,2,1,1,0,4,8,9,12,0,29,5,10,0,6,38,28,57.5757575757576,0,0,0,0,2024-10-11-Minnesota Duluth-Mass. Lowell
Mass Lowell,1,0,1,0,2,11,9,18,0,38,7,14,0,4,28,38,42.4242424242424,0,0,0,0,2024-10-11-Minnesota Duluth-Mass. Lowell
Bemidji State,0,3,0,0,3,12,8,13,0,33,2,4,0,2,23,35,39.6551724137931,0,0,0,0,2024-10-11-Bemidji State-St. Cloud State
St Cloud State,1,2,1,0,4,5,14,4,0,23,2,4,0,2,35,23,60.3448275862069,0,0,0,0,2024-10-11-Bemidji State-St. Cloud State
Omaha,0,1,1,1,3,6,7,9,2,24,5,10,1,6,24,29,45.2830188679245,0,0,0,0,2024-10-11-Omaha-Massachusetts
Massachusetts,1,0,1,0,2,10,7,6,3,26,7,14,1,4,29,24,54.7169811320755,0,0,0,0,2024-10-11-Omaha-Massachusetts
Minnesota,1,4,2,0,7,9,16,8,0,33,3,6,0,2,18,29,38.2978723404255,0,0,0,0,2024-10-11-Minnesota-Air Force
Air Force,0,1,0,0,1,6,8,8,0,22,2,4,1,3,29,18,61.7021276595745,0,0,0,0,2024-10-11-Minnesota-Air Force
RIT,0,0,2,0,2,13,8,12,0,33,3,6,0,2,35,32,52.2388059701493,0,0,0,0,2024-10-11-RIT-Mercyhurst
Mercyhurst,0,2,2,0,4,13,10,7,0,30,2,4,0,3,32,35,47.7611940298507,0,0,0,0,2024-10-11-RIT-Mercyhurst
Holy Cross,1,0,0,0,1,4,4,7,0,15,5,10,0,6,31,28,52.5423728813559,0,0,0,0,2024-10-12-Holy Cross-Connecticut
Connecticut,1,1,1,0,3,7,11,8,0,26,6,12,0,5,28,31,47.4576271186441,0,0,0,0,2024-10-12-Holy Cross-Connecticut
Sacred Heart,0,3,0,0,3,7,13,5,1,26,3,6,0,3,25,26,49.0196078431373,0,0,0,0,2024-10-12-Sacred Heart-Colgate
Colgate,1,1,1,0,3,9,9,12,3,33,3,6,0,2,26,25,50.9803921568627,0,0,0,0,2024-10-12-Sacred Heart-Colgate
Rensselaer,3,3,2,0,8,10,10,8,0,28,6,12,3,5,41,24,63.0769230769231,0,0,0,0,2024-10-12-Rensselaer-Canisius
Canisius,0,1,2,0,3,7,11,13,0,31,6,34,0,4,24,41,36.9230769230769,0,0,0,0,2024-10-12-Rensselaer-Canisius
American Intl,1,0,1,0,2,8,7,13,0,28,3,6,1,5,31,40,43.6619718309859,0,0,0,0,2024-10-12-American Int'l-Ohio State
Ohio State,2,2,1,0,5,12,10,5,0,27,5,10,0,3,40,31,56.3380281690141,0,0,0,0,2024-10-12-American Int'l-Ohio State
Michigan,0,1,2,0,3,7,7,14,6,34,5,10,0,4,21,30,41.1764705882353,0,0,0,0,2024-10-12-Michigan-Arizona State
Arizona State,0,1,2,0,3,11,11,8,1,31,5,10,1,4,30,21,58.8235294117647,0,0,0,0,2024-10-12-Michigan-Arizona State
Northern Michigan,1,0,0,0,1,6,4,2,0,12,6,12,0,4,18,34,34.6153846153846,0,0,0,0,2024-10-12-Northern Michigan-Colorado College
Colorado College,2,1,3,0,6,10,13,13,0,36,5,10,1,5,34,18,65.3846153846154,0,0,0,0,2024-10-12-Northern Michigan-Colorado College
Boston College,2,1,0,0,3,11,11,13,0,35,1,2,1,1,22,38,36.6666666666667,0,0,0,0,2024-10-12-Boston College-Michigan State
Michigan State,1,3,0,0,4,10,11,8,0,29,2,4,0,0,38,22,63.3333333333333,0,0,0,0,2024-10-12-Boston College-Michigan State
Lindenwood,1,1,0,0,2,6,7,4,0,17,8,16,0,2,19,38,33.3333333333333,0,0,0,0,2024-10-12-Lindenwood-Wisconsin
Wisconsin,0,1,1,1,3,11,16,11,7,45,2,4,1,8,38,19,66.6666666666667,0,0,0,0,2024-10-12-Lindenwood-Wisconsin
Vermont,0,0,1,0,1,8,14,6,0,28,4,8,0,3,40,43,48.1927710843374,0,0,0,0,2024-10-12-Vermont-St. Thomas
St Thomas,1,1,1,0,3,18,12,10,0,40,3,6,0,4,43,40,51.8072289156626,0,0,0,0,2024-10-12-Vermont-St. Thomas
Minnesota Duluth,0,0,1,0,1,8,8,5,0,21,5,21,0,1,25,32,43.859649122807,0,0,0,0,2024-10-12-Minnesota Duluth-Mass. Lowell
Mass Lowell,1,3,0,0,4,10,19,7,0,36,2,4,2,3,32,25,56.140350877193,0,0,0,0,2024-10-12-Minnesota Duluth-Mass. Lowell
Alaska,1,0,0,0,1,9,9,12,0,30,3,6,0,1,31,23,57.4074074074074,0,0,0,0,2024-10-12-Alaska-Michigan Tech
Michigan Tech,2,0,0,0,2,9,5,4,0,18,2,4,1,2,23,31,42.5925925925926,0,0,0,0,2024-10-12-Alaska-Michigan Tech
Merrimack,1,0,0,0,1,5,7,7,0,19,4,8,0,1,22,25,46.8085106382979,0,0,0,0,2024-10-12-Merrimack-Minnesota State
Minnesota State,2,1,1,0,4,8,5,10,0,23,2,4,1,3,25,22,53.1914893617021,0,0,0,0,2024-10-12-Merrimack-Minnesota State
Providence,1,0,1,0,2,9,7,8,0,24,3,6,1,3,27,32,45.7627118644068,0,0,0,0,2024-10-12-Providence-North Dakota
North Dakota,1,3,1,0,5,9,14,8,0,31,4,8,1,2,32,27,54.2372881355932,0,0,0,0,2024-10-12-Providence-North Dakota
Long Island,1,1,1,0,3,9,15,9,0,33,0,0,0,1,30,39,43.4782608695652,0,0,0,0,2024-10-12-Long Island-Augustana
Augustana,0,0,2,0,2,5,3,15,0,23,1,2,0,0,39,30,56.5217391304348,0,0,0,0,2024-10-12-Long Island-Augustana
St Cloud State,1,2,0,0,3,8,12,5,0,25,4,8,1,2,40,26,60.6060606060606,0,0,0,0,2024-10-12-St. Cloud State-Bemidji State
Bemidji State,0,1,1,0,2,9,8,8,0,25,2,4,1,4,26,40,39.3939393939394,0,0,0,0,2024-10-12-St. Cloud State-Bemidji State
Union,0,1,0,0,1,17,8,12,0,37,5,10,0,5,30,33,47.6190476190476,0,0,0,0,2024-10-12-Union-Boston University
Boston University,3,1,0,0,4,13,19,12,0,44,5,10,2,5,33,30,52.3809523809524,0,0,0,0,2024-10-12-Union-Boston University
Notre Dame,0,1,4,0,5,6,9,12,0,27,3,6,2,4,29,18,61.7021276595745,0,0,0,0,2024-10-12-Notre Dame-Clarkson
Clarkson,2,0,0,0,2,10,11,11,0,32,6,12,0,1,18,29,38.2978723404255,0,0,0,0,2024-10-12-Notre Dame-Clarkson
Western Michigan,2,1,2,0,5,12,4,16,0,32,5,10,1,3,44,28,61.1111111111111,0,0,0,0,2024-10-12-Western Michigan-Ferris State
Ferris State,0,0,1,0,1,10,13,6,0,29,4,8,0,4,28,44,38.8888888888889,0,0,0,0,2024-10-12-Western Michigan-Ferris State
Bentley,1,0,0,0,1,12,9,3,0,24,6,12,0,5,23,27,46.0,0,0,0,0,2024-10-12-Bentley-New Hampshire
New Hampshire,1,0,0,1,2,8,6,11,3,28,5,10,1,6,27,23,54.0,0,0,0,0,2024-10-12-Bentley-New Hampshire
Stonehill,1,0,0,0,1,8,6,4,0,18,3,6,0,1,18,34,34.6153846153846,0,0,0,0,2024-10-12-Stonehill-Northeastern
Northeastern,1,1,3,0,5,9,10,16,0,35,3,6,0,1,34,18,65.3846153846154,0,0,0,0,2024-10-12-Stonehill-Northeastern
Penn State,0,0,2,0,2,3,9,8,0,20,3,6,1,4,25,26,49.0196078431373,0,0,0,0,2024-10-12-Penn State-Quinnipiac
Quinnipiac,2,1,0,0,3,10,8,4,0,22,4,8,0,3,26,25,50.9803921568627,0,0,0,0,2024-10-12-Penn State-Quinnipiac
Niagara,1,1,1,0,3,11,6,8,1,26,4,8,1,2,31,32,49.2063492063492,0,0,0,0,2024-10-12-Niagara-St. Lawrence
St Lawrence,0,2,1,1,4,9,14,6,3,32,2,4,0,4,32,31,50.7936507936508,0,0,0,0,2024-10-12-Niagara-St. Lawrence
Alaska Anchorage,0,0,1,0,1,7,11,8,0,26,5,10,0,4,26,28,48.1481481481482,0,0,0,0,2024-10-12-Alaska Anchorage-Miami
Miami,1,3,0,0,4,4,8,3,0,15,4,11,1,5,28,26,51.8518518518519,0,0,0,0,2024-10-12-Alaska Anchorage-Miami
RIT,2,1,1,0,4,15,18,8,0,41,3,6,0,0,35,21,62.5,0,0,0,0,2024-10-12-RIT-Mercyhurst
Mercyhurst,1,0,1,0,2,13,10,10,0,33,0,0,2,3,21,35,37.5,0,0,0,0,2024-10-12-RIT-Mercyhurst
Massachusetts,0,3,2,0,5,10,18,9,0,37,5,13,2,3,37,24,60.655737704918,0,0,0,0,2024-10-12-Massachusetts-Air Force
Air Force,0,0,1,0,1,9,5,20,0,34,3,17,1,5,24,37,39.344262295082,0,0,0,0,2024-10-12-Massachusetts-Air Force
Minnesota,1,0,0,0,1,21,18,14,1,54,1,2,0,3,29,29,50.0,0,0,0,0,2024-10-12-Minnesota-Omaha
Omaha,0,1,0,1,2,6,5,6,1,18,3,6,0,1,29,29,50.0,0,0,0,0,2024-10-12-Minnesota-Omaha
Robert Morris,2,3,0,0,5,9,7,8,0,24,8,16,0,3,17,30,36.1702127659575,0,0,0,0,2024-10-17-Robert Morris-Miami
Miami,0,1,0,0,1,10,10,4,0,24,5,10,0,5,30,17,63.8297872340426,0,0,0,0,2024-10-17-Robert Morris-Miami
Bowling Green,1,1,0,0,2,9,9,7,0,25,2,4,1,2,24,32,42.8571428571429,0,0,0,0,2024-10-17-Bowling Green-Western Michigan
Western Michigan,2,4,0,0,6,9,19,11,0,39,2,4,2,2,32,24,57.1428571428571,0,0,0,0,2024-10-17-Bowling Green-Western Michigan
Connecticut,1,0,1,0,2,7,8,11,0,26,5,21,0,2,32,33,49.2307692307692,0,0,0,0,2024-10-18-Connecticut-Boston University
Boston University,0,2,2,0,4,9,12,8,0,29,3,6,1,4,33,32,50.7692307692308,0,0,0,0,2024-10-18-Connecticut-Boston University
New Hampshire,0,0,0,0,0,5,8,5,1,19,5,21,0,2,30,16,65.2173913043478,0,0,0,0,2024-10-18-New Hampshire-Merrimack
Merrimack,0,0,0,0,0,7,5,4,0,16,3,6,0,3,16,30,34.7826086956522,0,0,0,0,2024-10-18-New Hampshire-Merrimack
Ohio State,1,0,0,1,2,9,9,3,2,23,1,5,0,1,22,32,40.7407407407407,0,0,0,0,2024-10-18-Ohio State-Wisconsin
Wisconsin,1,0,0,0,1,5,17,13,3,38,1,2,1,2,32,22,59.2592592592593,0,0,0,0,2024-10-18-Ohio State-Wisconsin
Northeastern,0,1,1,0,2,3,10,4,0,17,4,8,0,1,28,35,44.4444444444444,0,0,0,0,2024-10-18-Northeastern-Denver
Denver,1,3,1,0,5,15,18,12,0,45,3,17,0,3,35,28,55.5555555555556,0,0,0,0,2024-10-18-Northeastern-Denver
Quinnipiac,0,1,0,0,1,9,6,5,0,20,6,12,1,6,27,35,43.5483870967742,0,0,0,0,2024-10-18-Quinnipiac-Maine
Maine,2,0,0,0,2,13,7,9,0,29,7,14,0,5,35,27,56.4516129032258,0,0,0,0,2024-10-18-Quinnipiac-Maine
Sacred Heart,1,2,1,0,4,10,4,6,0,20,3,6,0,2,29,28,50.8771929824562,0,0,0,0,2024-10-18-Sacred Heart-Massachusetts
Massachusetts,1,0,2,0,3,9,18,9,0,36,2,4,0,3,28,29,49.1228070175439,0,0,0,0,2024-10-18-Sacred Heart-Massachusetts
St Cloud State,0,0,0,0,0,7,7,7,0,21,4,8,0,3,24,27,47.0588235294118,0,0,0,0,2024-10-18-St. Cloud State-Michigan
Michigan,0,0,3,0,3,8,14,8,0,30,4,8,0,4,27,24,52.9411764705882,0,0,0,0,2024-10-18-St. Cloud State-Michigan
Minnesota,4,1,2,0,7,23,11,15,0,49,2,4,1,3,27,50,35.0649350649351,0,0,0,0,2024-10-18-Minnesota-Minnesota Duluth
Minnesota Duluth,0,1,4,0,5,4,7,11,0,22,3,6,1,2,50,27,64.9350649350649,0,0,0,0,2024-10-18-Minnesota-Minnesota Duluth
Arizona State,0,0,1,0,1,9,6,13,0,28,1,2,0,2,26,32,44.8275862068966,0,0,0,0,2024-10-18-Arizona State-Providence
Providence,2,1,1,0,4,12,7,8,0,27,2,4,0,1,32,26,55.1724137931034,0,0,0,0,2024-10-18-Arizona State-Providence
Niagara,0,1,2,0,3,9,18,14,1,42,2,4,1,6,33,30,52.3809523809524,0,0,0,0,2024-10-18-Niagara-Rensselaer
Rensselaer,1,1,1,0,3,14,13,9,3,39,6,23,0,2,30,33,47.6190476190476,0,0,0,0,2024-10-18-Niagara-Rensselaer
Ferris State,0,1,0,0,1,7,12,8,0,27,3,6,0,1,23,34,40.3508771929825,0,0,0,0,2024-10-18-Ferris State-St. Lawrence
St Lawrence,0,0,0,0,0,12,12,11,0,35,1,2,0,2,34,23,59.6491228070175,0,0,0,0,2024-10-18-Ferris State-St. Lawrence
Mercyhurst,1,1,0,0,2,8,9,5,0,22,1,2,1,2,14,37,27.4509803921569,0,0,0,0,2024-10-18-Mercyhurst-Union
Union,2,1,3,0,6,17,11,6,0,34,2,4,0,1,37,14,72.5490196078431,0,0,0,0,2024-10-18-Mercyhurst-Union
Long Island,0,1,0,0,1,6,4,4,1,15,3,6,0,0,33,29,53.2258064516129,0,0,0,0,2024-10-18-Long Island-Bentley
Bentley,1,0,0,0,1,9,6,6,5,26,2,4,0,2,29,33,46.7741935483871,0,0,0,0,2024-10-18-Long Island-Bentley
American Intl,0,0,0,0,0,6,10,4,0,20,7,14,0,3,28,30,48.2758620689655,0,0,0,0,2024-10-18-American Int'l-Boston College
Boston College,2,3,0,0,5,17,7,7,0,31,5,10,1,5,30,28,51.7241379310345,0,0,0,0,2024-10-18-American Int'l-Boston College
Lindenwood,1,1,0,0,2,11,9,8,0,28,5,10,0,2,22,40,35.4838709677419,0,0,0,0,2024-10-18-Lindenwood-Air Force
Air Force,1,1,1,0,3,9,9,9,0,27,2,4,2,5,40,22,64.5161290322581,0,0,0,0,2024-10-18-Lindenwood-Air Force
Alaska,0,0,1,0,1,8,5,13,0,26,3,6,0,2,16,32,33.3333333333333,0,0,0,0,2024-10-18-Alaska-Notre Dame
Notre Dame,1,1,2,0,4,14,15,9,0,38,2,4,1,3,32,16,66.6666666666667,0,0,0,0,2024-10-18-Alaska-Notre Dame
Stonehill,0,2,2,0,4,13,8,2,0,23,5,10,0,4,26,30,46.4285714285714,0,0,0,0,2024-10-18-Stonehill-Lake Superior
Lake Superior,0,0,1,0,1,11,5,14,0,30,5,10,1,4,30,26,53.5714285714286,0,0,0,0,2024-10-18-Stonehill-Lake Superior
North Dakota,0,0,3,0,3,9,6,7,0,22,1,2,2,4,27,22,55.1020408163265,0,0,0,0,2024-10-18-North Dakota-Minnesota State
Minnesota State,1,1,0,0,2,9,9,7,0,25,3,17,0,1,22,27,44.8979591836735,0,0,0,0,2024-10-18-North Dakota-Minnesota State
