Primary_team_goal,Total_Goals,within_1s,within_1s_pct,within_2s,within_2s_pct,within_3s,within_3s_pct,within_4s,within_4s_pct,within_5s,within_5s_pct,within_6s,within_6s_pct,within_7s,within_7s_pct,within_8s,within_8s_pct,within_9s,within_9s_pct,within_10s,within_10s_pct
Harvard,51,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0196078431372549,3,0.058823529411764705,3,0.058823529411764705,4,0.0784313725490196,4,0.0784313725490196,7,0.13725490196078433
Holy Cross,78,0,0.0,1,0.01282051282051282,2,0.02564102564102564,4,0.05128205128205128,5,0.0641025641025641,5,0.0641025641025641,7,0.08974358974358974,7,0.08974358974358974,8,0.10256410256410256,9,0.11538461538461539
Lake Superior,66,1,0.015151515151515152,1,0.015151515151515152,1,0.015151515151515152,2,0.030303030303030304,3,0.045454545454545456,4,0.06060606060606061,5,0.07575757575757576,6,0.09090909090909091,7,0.10606060606060606,8,0.12121212121212122
Lindenwood,47,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0425531914893617,2,0.0425531914893617,2,0.0425531914893617,2,0.0425531914893617,2,0.0425531914893617
Long Island,78,0,0.0,2,0.02564102564102564,3,0.038461538461538464,3,0.038461538461538464,4,0.05128205128205128,8,0.10256410256410256,10,0.1282051282051282,11,0.14102564102564102,13,0.16666666666666666,14,0.1794871794871795
Maine,76,0,0.0,1,0.013157894736842105,1,0.013157894736842105,1,0.013157894736842105,1,0.013157894736842105,1,0.013157894736842105,2,0.02631578947368421,3,0.039473684210526314,4,0.05263157894736842,7,0.09210526315789473
Mass Lowell,66,0,0.0,0,0.0,1,0.015151515151515152,2,0.030303030303030304,2,0.030303030303030304,2,0.030303030303030304,3,0.045454545454545456,4,0.06060606060606061,6,0.09090909090909091,6,0.09090909090909091
Massachusetts,83,0,0.0,0,0.0,1,0.012048192771084338,2,0.024096385542168676,3,0.03614457831325301,5,0.060240963855421686,5,0.060240963855421686,6,0.07228915662650602,6,0.07228915662650602,8,0.0963855421686747
Mercyhurst,65,0,0.0,0,0.0,0,0.0,2,0.03076923076923077,3,0.046153846153846156,3,0.046153846153846156,3,0.046153846153846156,3,0.046153846153846156,3,0.046153846153846156,3,0.046153846153846156
Merrimack,60,1,0.016666666666666666,1,0.016666666666666666,2,0.03333333333333333,2,0.03333333333333333,4,0.06666666666666667,4,0.06666666666666667,4,0.06666666666666667,5,0.08333333333333333,7,0.11666666666666667,7,0.11666666666666667
Miami,44,0,0.0,0,0.0,1,0.022727272727272728,1,0.022727272727272728,1,0.022727272727272728,1,0.022727272727272728,1,0.022727272727272728,2,0.045454545454545456,3,0.06818181818181818,3,0.06818181818181818
Michigan,87,0,0.0,0,0.0,2,0.022988505747126436,2,0.022988505747126436,3,0.034482758620689655,4,0.04597701149425287,5,0.05747126436781609,6,0.06896551724137931,7,0.08045977011494253,7,0.08045977011494253
