Clean_Player,Team,G,A,Pts,plus_minus,Sh,PIM,Games_Played
Brady Ziemer,Augustana,3,7,10,-9,33,10,34
Braeden Tuck,Sacred Heart,6,11,17,-3,41,6,33
Braidan Simmons-Fischer,St. Thomas,0,1,1,-1,3,6,6
Braiden Dorfman,Dartmouth,8,9,17,1,50,36,29
Branden Piku,Lake Superior,7,4,11,6,41,14,25
Brandon Buhr,Union,11,13,24,-12,70,4,35
Brandon Chabrier,Maine,6,16,22,8,64,22,37
Brandon Holt,Maine,4,11,15,10,60,18,33
Brandon Koch,Minnesota State,1,13,14,4,60,18,34
Brandon Lajoie,Alaska-Anchorage,0,4,4,2,5,2,7
Brandon Perrone,Long Island,0,1,1,0,0,2,24
Brandon Santa Juana,Bowling Green,2,9,11,-11,33,16,36
Brandon Tabakin,Arizona State,2,8,10,26,66,13,36
Brayden Krieger,Bowling Green,0,5,5,-7,37,0,26
Brayden Morrison,Miami,0,1,1,-5,14,6,26
Brayden Nicholetts,Alaska,3,1,4,2,20,10,17
Breck McKinley,Bowling Green,0,6,6,-12,30,6,31
Brehdan Engum,Mass.-Lowell,0,4,4,-8,34,39,34
Brendan Budy,Rensselaer,0,0,0,-5,8,8,15
Brendan Clark,Brown,0,3,3,-4,15,14,16
Brendan Dumas,Sacred Heart,2,0,2,-2,8,18,12
Brendan Fitzgerald,New Hampshire,0,5,5,-4,22,44,28
Brendan Gibbons,Air Force,7,5,12,-7,46,14,34
Brendan Gorman,Princeton,7,17,24,5,58,19,29
Brendan Miles,Michigan,0,0,0,-1,0,0,6
Brendan Poshak,Northern Michigan,0,0,0,1,5,0,7
Brendan Wang,Princeton,0,1,1,-13,19,8,25
Brenden Datema,Canisius,1,8,9,-3,47,30,35
Brenden MacLaren,Ferris State,0,2,2,-15,41,11,27
Brenden Olson,Minnesota State,3,1,4,-4,20,10,23
Brenden Rons,Lindenwood,0,3,3,-7,21,18,27
Brennan Ali,Notre Dame,3,10,13,3,53,4,36
Brent Johnson,Ohio State,5,8,13,-1,50,8,37
Brent Keefer,Army,13,11,24,-14,70,30,34
Bret Link,Colorado College,4,11,15,8,53,6,35
Brett Bamber,Alaska-Anchorage,4,9,13,8,72,17,34
Brett Bliss,Brown,2,7,9,-22,58,27,30
Brett Callahan,American Int'l,4,6,10,1,66,10,37
Brett Chorske,Colgate,7,20,27,9,63,6,35
Brett Edwards,Northeastern,5,2,7,-2,17,18,31
Brett Meerman,Augustana,3,10,13,-7,37,2,29
Brett Miller,Rensselaer,0,0,0,0,0,0,7
Brett Moravec,Minnesota State,4,4,8,6,44,10,27
Brett Pfoh,Bowling Green,9,6,15,-3,62,28,34
Brett Roloson,Lake Superior,1,5,6,1,11,6,15
Brett Rylance,American Int'l,6,14,20,-5,66,31,38
Brian Adams,Air Force,2,6,8,7,36,4,30
Brian Carrabes,Minnesota State,10,12,22,6,94,6,36
Brian Chambers,Arizona State,4,16,20,4,51,35,38
Brian Kramer,American Int'l,10,12,22,10,66,35,35
Brian Silver,Augustana,0,0,0,-7,5,8,16
Briggs Gammill,Yale,8,7,15,0,66,24,28
