PLAYER,2023/24 TEAM,GP,G,A,P,POS.,YR.,HOMETOWN,STATE/COUNTRY,HT/WT,DESTINATION TEAM,NOTABLE INFO,23/24 CONFERENCE,NEW CONFERENCE,DATE ADDED TO LIST
Cristophe Tellier,Quinnipiac,39,7,19,26,F,Jr.,"Sherbrooke, QC",Canada,6'1 / 185,Northeastern,,ECAC,Hockey East,4/2/2024
Nick Rheaume,UMass Lowell,34,9,4,13,F,So.,"Sherbrooke, QC",Canada,6'3 / 194,Northeastern,,Hockey East,Hockey East,5/7/2024
Matt Romer,Arizona State,7,0,1,1,F,Fr.,Chicago,Illinois,5'11 / 179,Northern Michigan,,Independent,CCHA,4/22/2024
Jakub Lewandowski,Bemidji State,9,1,1,2,F,Jr.,Torun,Poland,6'3 / 201,Northern Michigan,,CCHA,CCHA,3/31/2024
Matt Argentina,Boston College,-,-,-,-,F,So.*,Philadelphia,Pennsylvania,5'11 / 194,Northern Michigan,*Spent 2023-24 in the BCHL,BCHL,CCHA,3/1/24*
Jesse Tucker,Clarkson,34,4,10,14,F,Jr.,"Longlac, ON",Canada,5'11 / 183,Northern Michigan,Two-time transfer. Also played at Michigan State.,ECAC,CCHA,6/29/2024
Artyom Borshyov,Lake Superior State,32,2,6,8,D,Sr.,Vitebsk,Belarus,6'3 / 209,Northern Michigan,,CCHA,CCHA,3/18/2024
Ethan Barwick,Lindenwood,-,-,-,-,G,Fr.,"St. Albert, AB",Canada,6'3 / 187,Northern Michigan,,Independent,CCHA,4/2/2024
Ryan Ouellette,Niagara,8,2.75,0.904,-,G,Jr.,Colorado Springs,Colorado,6'0 / 185,Northern Michigan,Two-time transfer. Also played DIII at UWEC.,Atlantic,CCHA,4/2/2024
Brendan Poshak,Northern Michigan,7,0,0,0,F,Fr.,Green Bay,Wisconsin,5'8 / 161,Northern Michigan,Entered portal but is returning to NMU,CCHA,,3/31/2024
Zach Michaelis,Northern Michigan,9,0,3,3,F,So.,Elk River ,Minnesota,6'1 / 203,Northern Michigan,Entered portal but is returning to NMU,CCHA,,3/31/2024
Nick Ardanaz,RPI,18,1,2,3,D,So.,"Surrey, BC",Canada,5'10 / 170,Northern Michigan,,ECAC,CCHA,3/31/2024
Danny Ciccarello,RPI,25,4,1,5,F,So.,"Kirkland, QC",Canada,5'11 / 201,Northern Michigan,,ECAC,CCHA,4/1/2024
Tynan Ewart,St. Cloud State,19,0,5,5,D,Fr.,"Duncan, BC",Canada,6'2 / 161,Northern Michigan,,NCHC,CCHA,4/30/2024
