Date,Conference,Game_Notes,Away_Team,Away_Team_Link,Away_Score,Home_Team,Home_Team_Link,Home_Score,OT,Box_Link,Metrics_Link,Day,Game_ID
2024-10-05,Non-Conference,,Bowling Green,/reports/team/Bowling-Green/11,5,Mercyhurst,/reports/team/Mercyhurst/28,4,ot,/box/final/20241005/bgs/mrc/,/box/metrics.php?gd=100385,Saturday,2024-10-05_Mercyhurst_Bowling Green
2024-10-05,Non-Conference,,Penn State,/reports/team/Penn-State/60,4,Alaska,/reports/team/Alaska/4,3,ot,/box/final/20241005/psu/akf/,/box/metrics.php?gd=100580,Saturday,2024-10-05_Alaska_Penn State
2024-10-05,Non-Conference,,Colgate,/reports/team/Colgate/15,2,Connecticut,/reports/team/Connecticut/17,6,,/box/final/20241005/clg/con/,/box/metrics.php?gd=100833,Saturday,2024-10-05_Connecticut_Colgate
2024-10-05,Non-Conference,,Miami,/reports/team/Miami/30,4,Ferris State,/reports/team/Ferris-State/21,4,ot,/box/final/20241005/mia/fsu/,/box/metrics.php?gd=99982,Saturday,2024-10-05_Ferris State_Miami
2024-10-06,Exhibition,,Niagara,/reports/team/Niagara/39,2,Ohio State,/reports/team/Ohio-State/44,3,ot,/box/final/20241006/nia/osu/,,Sunday,2024-10-06_Ohio State_Niagara
2024-10-06,Exhibition,,Rensselaer,/reports/team/Rensselaer/48,2,Massachusetts,/reports/team/Massachusetts/27,1,ot,/box/final/20241006/ren/uma/,,Sunday,2024-10-06_Massachusetts_Rensselaer
2024-10-06,Exhibition,,Northeastern,/reports/team/Northeastern/41,4,Quinnipiac,/reports/team/Quinnipiac/47,2,,/box/final/20241006/noe/qui/,,Sunday,2024-10-06_Quinnipiac_Northeastern
2024-10-06,Exhibition,,Simon Fraser,,3,Sacred Heart,/reports/team/Sacred-Heart/51,7,,/box/final/20241006/sfr/sac/,,Sunday,2024-10-06_Sacred Heart_Simon Fraser
2024-10-06,Exhibition,,McGill,,0,Vermont,/reports/team/Vermont/55,5,,/box/final/20241006/mcg/ver/,,Sunday,2024-10-06_Vermont_McGill
2024-10-06,Exhibition,,Mass Lowell,/reports/team/Mass-Lowell/26,6,Bentley,/reports/team/Bentley/8,5,,/box/final/20241006/uml/ben/,,Sunday,2024-10-06_Bentley_Mass.-Lowell
2024-10-06,Exhibition,,Manitoba,,2,Minnesota Duluth,/reports/team/Minnesota-Duluth/36,7,,/box/final/20241006/mtb/mnd/,,Sunday,2024-10-06_Minnesota-Duluth_Manitoba
2024-10-06,Non-Conference,,RIT,/reports/team/RIT/49,3,Clarkson,/reports/team/Clarkson/14,2,,/box/final/20241006/rit/clk/,/box/metrics.php?gd=100287,Sunday,2024-10-06_Clarkson_RIT
2024-10-06,Non-Conference,,Canisius,/reports/team/Canisius/13,2,St Lawrence,/reports/team/St-Lawrence/53,5,,/box/final/20241006/cns/stl/,/box/metrics.php?gd=100101,Sunday,2024-10-06_St. Lawrence_Canisius
2024-10-06,Non-Conference,,Army,/reports/team/Army/6,3,Union,/reports/team/Union/54,4,ot,/box/final/20241006/arm/uni/,/box/metrics.php?gd=100194,Sunday,2024-10-06_Union_Army
2024-10-06,Non-Conference,,Stonehill,/reports/team/Stonehill/422,3,Merrimack,/reports/team/Merrimack/29,2,ot,/box/final/20241006/stn/mer/,/box/metrics.php?gd=101040,Sunday,2024-10-06_Merrimack_Stonehill
2024-10-06,Non-Conference,,Denver,/reports/team/Denver/20,4,Alaska Anchorage,/reports/team/Alaska-Anchorage/3,1,,/box/final/20241006/den/aka/,/box/metrics.php?gd=100076,Sunday,2024-10-06_Alaska-Anchorage_Denver
2024-10-06,Non-Conference,,Penn State,/reports/team/Penn-State/60,5,Alaska,/reports/team/Alaska/4,0,,/box/final/20241006/psu/akf/,/box/metrics.php?gd=100581,Sunday,2024-10-06_Alaska_Penn State
2024-10-06,Non-Conference,,St Cloud State,/reports/team/St-Cloud-State/52,1,St Thomas,/reports/team/St-Thomas/63,0,,/box/final/20241006/stc/stt/,/box/metrics.php?gd=100564,Sunday,2024-10-06_St. Thomas_St. Cloud State
2024-10-10,Exhibition,,Robert Morris,/reports/team/Robert-Morris/50,2,Bowling Green,/reports/team/Bowling-Green/11,7,,/box/final/20241010/rmu/bgs/,,Thursday,2024-10-10_Bowling Green_Robert Morris
2024-10-11,Exhibition,,Simon Fraser,,1,Robert Morris,/reports/team/Robert-Morris/50,2,,/box/final/20241011/sfr/rmu/,,Friday,2024-10-11_Robert Morris_Simon Fraser
2024-10-11,Exhibition,,Lake Superior,/reports/team/Lake-Superior/24,6,US Under 18,,1,,/box/final/20241011/lss/u18/,,Friday,2024-10-11_US Under-18_Lake Superior
