City,State_Province,Country,Player_Count,Latitude,Longitude
Mirabel,Quebec,Canada,1,45.65189590000001,-74.09016960000001
Mission Viejo,California,USA,1,33.5968913,-117.6581562
Montréal,Quebec,Canada,1,45.5018869,-73.56739189999999
Morristown,New Jersey,USA,1,40.7922983,-74.4763123
Mounds View,Minnesota,USA,1,45.1049656,-93.2085582
Märsta,Sweden,Sweden,1,59.6196463,17.8555094
Naperville,Illinois,USA,1,41.7508391,-88.1535352
New Hartford,New York,USA,1,43.073403,-75.2876661
New Rochelle,New York,USA,1,40.9200244,-73.78627139999999
Newbury,Massachusetts,USA,1,42.7649497,-70.8714528
Newburyport,Massachusetts,USA,1,42.8125913,-70.87727509999999
Newmarket,Ontario,Canada,1,44.05918700000001,-79.46125599999999
Nitra,Slovakia,Slovakia,1,48.3061414,18.076376
North Andover,Massachusetts,USA,1,42.69870239999999,-71.1350575
North Barrington,Illinois,USA,1,42.207802,-88.1406349
North Reading,Massachusetts,USA,1,42.5750939,-71.0786653
North Tonawanda,New York,USA,1,43.038668,-78.8642033
North Vancouver,British Columbia,Canada,5,49.3199816,-123.0724139
Northbrook,Illinois,USA,1,42.1275267,-87.82895479999999
Northport,New York,USA,1,40.9009313,-73.3431727
Norwell,Massachusetts,USA,1,42.1573988,-70.81784999999999
Oak Ridge,New Jersey,USA,1,41.0463617,-74.48568519999999
Oakville,Ontario,Canada,1,43.467517,-79.6876659
Oceanport,New Jersey,USA,1,40.3106382,-74.0230868
Odenton,Maryland,USA,1,39.0839981,-76.7002462
Orange,California,USA,1,33.7879085,-117.855281
Orange Park,Florida,USA,2,30.1660736,-81.706484
Orangeville,Ontario,Canada,1,43.9199788,-80.0943113
Orchard Park,New York,USA,1,42.76755929999999,-78.7439189
Orono,Minnesota,USA,1,44.97135189999999,-93.6044033
Oslo,Norway,Norway,1,59.9138688,10.7522454
Ostrava,Czech Republic,Czech Republic,1,49.8209226,18.2625243
Ottawa,Ontario,Canada,2,45.4200572,-75.7003397
Paradise,Newfoundland and Labrador,Canada,1,47.5274603,-52.873136
Paradise Valley,Arizona,USA,1,33.5311541,-111.9426452
Parkland,Florida,USA,1,26.3107774,-80.25322489999999
Pearl River,New York,USA,1,41.0589855,-74.0218063
Pendleton,New York,USA,1,43.0870018,-78.7278101
Philadelphia,Pennsylvania,USA,1,39.9525839,-75.1652215
Pinckney,Michigan,USA,1,42.4567013,-83.9463358
Pittsboro,Indiana,USA,1,39.8638493,-86.4670776
Pittsburgh,Pennsylvania,USA,3,40.4386612,-79.99723519999999
Plainfield,Illinois,USA,1,41.6125345,-88.2024208
Plymouth,Michigan,USA,1,42.3714253,-83.4702132
Pomfret,Connecticut,USA,1,41.8975977,-71.9625736
Pomona,New York,USA,1,41.1912507,-74.05644989999999
Port Moody,British Columbia,Canada,2,49.2849107,-122.8677562
Potomac Falls,Virginia,USA,1,39.03652599999999,-77.4001943
Praha,Czech Republic,Czech Republic,2,50.0755381,14.4378005
Prince George,British Columbia,Canada,1,53.9170641,-122.7496693
Princeton,Massachusetts,USA,1,42.4487019,-71.877296
Princeton,New Jersey,USA,1,40.3503931,-74.6571416
Prior Lake,Minnesota,USA,1,44.7132969,-93.4227274
Purchase,New York,USA,1,41.0400135,-73.7144477
Québec,Quebec,Canada,1,46.8130816,-71.20745959999999
Richmond,British Columbia,Canada,1,49.1665898,-123.133569
Richmond Hill,Ontario,Canada,2,43.8828401,-79.4402808
Riihimäki,Finland,Finland,1,60.7407537,24.7511362
River Falls,Wisconsin,USA,1,44.8596311,-92.62549659999999
River Forest,Illinois,USA,1,41.8939617,-87.81984779999999
Riverview,New Brunswick,Canada,1,46.0521302,-64.8029894
Robbinsville,New Jersey,USA,1,40.2162271,-74.62011319999999
Rochester,Minnesota,USA,1,44.0193287,-92.45883270000002
Rochester,New York,USA,2,43.15657789999999,-77.6088465
