Team,Allowed_within_1s,Allowed_within_2s,Allowed_within_3s,Allowed_within_4s,Allowed_within_5s,Allowed_within_6s,Allowed_within_7s,Allowed_within_8s,Allowed_within_9s,Allowed_within_10s,Total_Goals_Allowed,Allowed_within_1s_pct,Allowed_within_2s_pct,Allowed_within_3s_pct,Allowed_within_4s_pct,Allowed_within_5s_pct,Allowed_within_6s_pct,Allowed_within_7s_pct,Allowed_within_8s_pct,Allowed_within_9s_pct,Allowed_within_10s_pct,Total_Goals,Scored_within_1s,Scored_within_1s_pct,Scored_within_2s,Scored_within_2s_pct,Scored_within_3s,Scored_within_3s_pct,Scored_within_4s,Scored_within_4s_pct,Scored_within_5s,Scored_within_5s_pct,Scored_within_6s,Scored_within_6s_pct,Scored_within_7s,Scored_within_7s_pct,Scored_within_8s,Scored_within_8s_pct,Scored_within_9s,Scored_within_9s_pct,Scored_within_10s,Scored_within_10s_pct
Boston College,0,1,2,3,3,3,3,4,5,6,41,0.0,0.024390243902439025,0.04878048780487805,0.07317073170731707,0.07317073170731707,0.07317073170731707,0.07317073170731707,0.0975609756097561,0.12195121951219512,0.14634146341463414,80.0,0.0,0.0,1.0,0.0125,1.0,0.0125,1.0,0.0125,1.0,0.0125,2.0,0.025,3.0,0.0375,3.0,0.0375,4.0,0.05,4.0,0.05
Boston University,0,0,1,1,1,1,2,3,3,4,80,0.0,0.0,0.0125,0.0125,0.0125,0.0125,0.025,0.0375,0.0375,0.05,86.0,0.0,0.0,1.0,0.011627906976744186,2.0,0.023255813953488372,3.0,0.03488372093023256,5.0,0.05813953488372093,5.0,0.05813953488372093,6.0,0.06976744186046512,7.0,0.08139534883720931,9.0,0.10465116279069768,9.0,0.10465116279069768
Bowling Green,0,0,0,0,2,3,4,4,4,5,65,0.0,0.0,0.0,0.0,0.03076923076923077,0.046153846153846156,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.07692307692307693,63.0,0.0,0.0,1.0,0.015873015873015872,1.0,0.015873015873015872,2.0,0.031746031746031744,2.0,0.031746031746031744,2.0,0.031746031746031744,3.0,0.047619047619047616,3.0,0.047619047619047616,3.0,0.047619047619047616,5.0,0.07936507936507936
Brown,0,2,2,3,5,5,5,5,5,5,48,0.0,0.041666666666666664,0.041666666666666664,0.0625,0.10416666666666667,0.10416666666666667,0.10416666666666667,0.10416666666666667,0.10416666666666667,0.10416666666666667,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.020833333333333332,1.0,0.020833333333333332,2.0,0.041666666666666664,3.0,0.0625,3.0,0.0625,4.0,0.08333333333333333
Canisius,0,0,1,4,6,10,10,10,10,11,83,0.0,0.0,0.012048192771084338,0.04819277108433735,0.07228915662650602,0.12048192771084337,0.12048192771084337,0.12048192771084337,0.12048192771084337,0.13253012048192772,70.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.02857142857142857,2.0,0.02857142857142857,2.0,0.02857142857142857,3.0,0.04285714285714286,3.0,0.04285714285714286,6.0,0.08571428571428572,7.0,0.1
Clarkson,0,0,0,2,3,4,5,5,6,9,56,0.0,0.0,0.0,0.03571428571428571,0.05357142857142857,0.07142857142857142,0.08928571428571429,0.08928571428571429,0.10714285714285714,0.16071428571428573,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0136986301369863,5.0,0.0684931506849315,5.0,0.0684931506849315,5.0,0.0684931506849315,6.0,0.0821917808219178,9.0,0.1232876712328767,11.0,0.1506849315068493
Colgate,0,0,0,1,1,3,4,5,5,6,74,0.0,0.0,0.0,0.013513513513513514,0.013513513513513514,0.04054054054054054,0.05405405405405406,0.06756756756756757,0.06756756756756757,0.08108108108108109,80.0,0.0,0.0,1.0,0.0125,1.0,0.0125,3.0,0.0375,6.0,0.075,7.0,0.0875,7.0,0.0875,7.0,0.0875,7.0,0.0875,7.0,0.0875
Colorado College,0,0,0,1,2,2,2,4,6,6,67,0.0,0.0,0.0,0.014925373134328358,0.029850746268656716,0.029850746268656716,0.029850746268656716,0.05970149253731343,0.08955223880597014,0.08955223880597014,64.0,0.0,0.0,1.0,0.015625,1.0,0.015625,1.0,0.015625,2.0,0.03125,2.0,0.03125,2.0,0.03125,3.0,0.046875,4.0,0.0625,5.0,0.078125
Connecticut,0,0,0,2,4,7,7,7,9,11,60,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.15,0.18333333333333332,69.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.028985507246376812,2.0,0.028985507246376812,3.0,0.043478260869565216,3.0,0.043478260869565216,5.0,0.07246376811594203,7.0,0.10144927536231885,9.0,0.13043478260869565
Cornell,0,1,1,1,2,2,2,2,2,2,47,0.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.0425531914893617,0.0425531914893617,0.0425531914893617,0.0425531914893617,0.0425531914893617,0.0425531914893617,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.037037037037037035,3.0,0.05555555555555555,5.0,0.09259259259259259,6.0,0.1111111111111111,8.0,0.14814814814814814
Dartmouth,0,0,1,1,2,2,2,2,3,3,57,0.0,0.0,0.017543859649122806,0.017543859649122806,0.03508771929824561,0.03508771929824561,0.03508771929824561,0.03508771929824561,0.05263157894736842,0.05263157894736842,67.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.029850746268656716,4.0,0.05970149253731343,4.0,0.05970149253731343,5.0,0.07462686567164178,5.0,0.07462686567164178,5.0,0.07462686567164178,5.0,0.07462686567164178
Denver,0,0,0,0,0,0,1,2,3,5,48,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.041666666666666664,0.0625,0.10416666666666667,98.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01020408163265306,3.0,0.030612244897959183,4.0,0.04081632653061224,5.0,0.05102040816326531,7.0,0.07142857142857142,8.0,0.08163265306122448,8.0,0.08163265306122448
Ferris State,0,1,1,2,3,4,4,4,4,6,92,0.0,0.010869565217391304,0.010869565217391304,0.021739130434782608,0.03260869565217391,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.06521739130434782,63.0,0.0,0.0,0.0,0.0,1.0,0.015873015873015872,2.0,0.031746031746031744,2.0,0.031746031746031744,2.0,0.031746031746031744,3.0,0.047619047619047616,5.0,0.07936507936507936,5.0,0.07936507936507936,5.0,0.07936507936507936
